id,name,ingredients,steps,image
12,Rajma Chawal,"rajma, rice, onion, tomato, spice","Step 1: Soak rajma overnight. Step 2: Pressure cook rajma until soft. Step 3: Heat oil, add onions and sauté until golden. Step 4: Add ginger-garlic paste and tomatoes. Step 5: Add spices and cook masala until oil separates. Step 6: Add cooked rajma and simmer 20 minutes. Step 7: Boil rice separately. Step 8: Serve rajma curry with steamed rice.","rajma_chawal.jpg"
13,Kadhi Pakora,"besan, curd, onion, spice","Step 1: Mix besan and curd with water to form kadhi batter. Step 2: Heat oil, add mustard seeds, curry leaves, dry red chili. Step 3: Pour kadhi batter, add turmeric and salt. Step 4: Simmer on low heat for 20 minutes. Step 5: Mix besan, onion, green chili, and salt to make pakora batter. Step 6: Deep fry spoonfuls into golden pakoras. Step 7: Add pakoras to simmering kadhi. Step 8: Garnish with coriander. Step 9: Serve with rice.","kadhi_pakora.jpg"
14,Aloo Gobi,"potato, cauliflower, onion, spice","Step 1: Cut potato and cauliflower into pieces. Step 2: Heat oil, add cumin and onions. Step 3: Add ginger-garlic paste and sauté. Step 4: Add tomatoes and cook until soft. Step 5: Add potatoes, cauliflower, and spices. Step 6: Sprinkle little water and cover. Step 7: Cook until vegetables are tender. Step 8: Garnish with coriander. Step 9: Serve hot with roti or rice.","aloo_gobi.jpg"
15,Baingan Bharta,"brinjal, onion, tomato, spice","Step 1: Roast brinjal on open flame until skin chars. Step 2: Peel skin and mash pulp. Step 3: Heat oil, sauté onions till golden. Step 4: Add ginger, garlic, and green chili. Step 5: Add tomatoes and spices. Step 6: Cook until masala thickens. Step 7: Add mashed brinjal and mix well. Step 8: Cook for 10 minutes. Step 9: Garnish with coriander. Step 10: Serve with roti.","baingan_bharta.jpg"
16,Palak Paneer,"paneer, spinach, cream, spice","Step 1: Blanch spinach in hot water, cool and puree. Step 2: Heat oil, sauté onions, ginger, and garlic. Step 3: Add tomatoes and cook. Step 4: Add spinach puree and spices. Step 5: Simmer for 10 minutes. Step 6: Add paneer cubes and mix. Step 7: Add cream and simmer for 5 minutes. Step 8: Garnish with butter. Step 9: Serve hot with naan.","palak_paneer.jpg"
17,Butter Chicken,"chicken, tomato, cream, butter, spice","Step 1: Marinate chicken with curd, ginger-garlic paste, and spices. Step 2: Grill or roast until half cooked. Step 3: Heat butter, add onions and sauté. Step 4: Add tomatoes and cook till soft. Step 5: Blend into smooth gravy. Step 6: Heat butter again, add gravy and spices. Step 7: Add chicken pieces and simmer. Step 8: Add cream and cook until done. Step 9: Garnish with coriander and butter. Step 10: Serve with naan or rice.","butter_chicken.jpg"
18,Fish Curry,"fish, onion, coconut, spice","Step 1: Clean and cut fish pieces. Step 2: Grind coconut, onion, garlic, and spices to paste. Step 3: Heat oil, add paste and fry. Step 4: Add tamarind water and salt. Step 5: Simmer curry for 10 minutes. Step 6: Add fish pieces and cook gently. Step 7: Garnish with coriander. Step 8: Serve hot with rice.","fish_curry.jpg"
19,Hyderabadi Haleem,"wheat, mutton, lentils, ghee, spice","Step 1: Soak wheat and lentils overnight. Step 2: Pressure cook wheat, lentils, and mutton with spices. Step 3: Shred mutton pieces. Step 4: Blend cooked mixture into thick paste. Step 5: Heat ghee, add fried onions and spices. Step 6: Mix into haleem. Step 7: Cook on slow flame for 1 hour. Step 8: Garnish with fried onions, ghee, and lemon. Step 9: Serve hot.","haleem.jpg"
20,Dal Tadka,"toor dal, onion, tomato, spice","Step 1: Wash and boil dal until soft. Step 2: Mash dal and keep aside. Step 3: Heat ghee, add cumin and garlic. Step 4: Add onions, cook until golden. Step 5: Add tomatoes and spices. Step 6: Cook until masala thickens. Step 7: Add boiled dal and mix. Step 8: Simmer for 10 minutes. Step 9: Garnish with coriander. Step 10: Serve with rice or roti.","dal_tadka.jpg"
21,Tandoori Chicken,"chicken, curd, spice","Step 1: Make cuts on chicken pieces. Step 2: Prepare marinade with curd, ginger-garlic paste, lemon juice, and spices. Step 3: Marinate chicken overnight. Step 4: Preheat oven or tandoor. Step 5: Place chicken on skewers. Step 6: Cook until charred and fully cooked. Step 7: Brush with butter. Step 8: Garnish with lemon and onions. Step 9: Serve hot.","tandoori_chicken.jpg"
22,Kachori,"flour, urad dal, spice","Step 1: Soak urad dal and grind coarsely. Step 2: Heat oil, add dal and spices, cook filling. Step 3: Knead flour with oil and water into dough. Step 4: Rest dough 30 minutes. Step 5: Roll into small balls. Step 6: Stuff with dal filling. Step 7: Seal edges and flatten slightly. Step 8: Deep fry on low flame until golden. Step 9: Serve with chutney.","kachori.jpg"
23,Pani Puri,"puri, potato, onion, tamarind, spice","Step 1: Boil and mash potatoes. Step 2: Add onions, spices, and mix. Step 3: Make spicy tamarind water with mint and masala. Step 4: Crack puris gently on top. Step 5: Stuff with potato mixture. Step 6: Pour spicy water into puris. Step 7: Serve immediately to retain crispiness.","pani_puri.jpg"
24,Bhel Puri,"puffed rice, onion, tomato, chutney","Step 1: Mix puffed rice, chopped onions, tomatoes, and boiled potatoes. Step 2: Add green chutney, tamarind chutney, and spices. Step 3: Mix quickly. Step 4: Add sev and coriander. Step 5: Serve immediately before puffed rice softens.","bhel_puri.jpg"
25,Dahi Puri,"puri, curd, potato, chutneys","Step 1: Boil and mash potatoes. Step 2: Crack puris gently. Step 3: Stuff with potato filling. Step 4: Add whisked curd on top. Step 5: Drizzle green and tamarind chutneys. Step 6: Sprinkle sev, coriander, and spices. Step 7: Serve chilled.","dahi_puri.jpg"
26,Khandvi,"besan, curd, turmeric, spice","Step 1: Mix besan, curd, water, and turmeric. Step 2: Cook on low flame, stirring continuously. Step 3: Cook until thick but spreadable. Step 4: Spread thinly on greased surface. Step 5: Cool and cut strips. Step 6: Roll strips tightly. Step 7: Heat oil, add mustard seeds and curry leaves. Step 8: Pour tempering over khandvi. Step 9: Garnish with coconut and coriander.","khandvi.jpg"
27,Undhiyu,"mixed vegetables, methi muthia, spice","Step 1: Chop winter vegetables like yam, beans, potatoes, and brinjal. Step 2: Prepare methi muthia from fenugreek leaves and besan. Step 3: Heat oil, add ajwain and spices. Step 4: Add vegetables and cook. Step 5: Add coconut, coriander, and masala. Step 6: Place methi muthia inside. Step 7: Cover and slow cook till tender. Step 8: Garnish with coriander. Step 9: Serve hot.","undhiyu.jpg"
28,Thepla,"wheat flour, methi leaves, spice","Step 1: Chop fresh methi leaves. Step 2: Mix wheat flour with spices, yogurt, and methi. Step 3: Knead into dough. Step 4: Rest for 15 minutes. Step 5: Divide into small balls. Step 6: Roll into thin theplas. Step 7: Cook on tawa with oil until golden. Step 8: Serve with pickle and curd.","thepla.jpg"
29,Handvo,"rice, dal, bottle gourd, spice","Step 1: Soak rice and dal overnight. Step 2: Grind into coarse batter. Step 3: Mix with grated bottle gourd and spices. Step 4: Ferment overnight. Step 5: Heat oil, add sesame seeds and curry leaves. Step 6: Pour batter into greased pan. Step 7: Cook on low flame or bake until crisp outside. Step 8: Serve with chutney.","handvo.jpg"
30,Sev Tamatar,"sev, tomato, onion, spice","Step 1: Heat oil, sauté onions until golden. Step 2: Add tomatoes and cook until soft. Step 3: Add spices and water. Step 4: Simmer gravy for 10 minutes. Step 5: Add sev just before serving. Step 6: Garnish with coriander. Step 7: Serve with roti.","sev_tamatar.jpg"
31,Moong Dal Chilla,"moong dal, onion, spice","Step 1: Soak moong dal for 4 hours. Step 2: Grind into smooth batter. Step 3: Add chopped onions, chilies, and spices. Step 4: Heat tawa and pour batter like dosa. Step 5: Cook both sides with oil until crisp. Step 6: Serve with chutney.","moong_chilla.jpg"
32,Pesarattu,"green gram, onion, ginger","Step 1: Soak green gram overnight. Step 2: Grind with ginger into batter. Step 3: Add chopped onions and chilies. Step 4: Heat tawa, spread batter thinly. Step 5: Cook both sides with oil. Step 6: Serve with coconut chutney.","pesarattu.jpg"
33,Upma,"rava, onion, curry leaves, spice","Step 1: Roast rava until fragrant. Step 2: Heat oil, add mustard seeds, curry leaves, chilies. Step 3: Add onions and sauté. Step 4: Add water and salt, bring to boil. Step 5: Add roasted rava slowly while stirring. Step 6: Cook until fluffy. Step 7: Garnish with coriander. Step 8: Serve hot.","upma.jpg"
34,Appam with Stew,"rice, coconut, vegetable stew","Step 1: Soak rice overnight. Step 2: Grind rice with coconut to form batter. Step 3: Ferment overnight. Step 4: Heat appam pan, pour batter, swirl to spread. Step 5: Cook until edges are crisp. Step 6: For stew, cook vegetables with coconut milk and spices. Step 7: Simmer until creamy. Step 8: Serve appam with stew.","appam_stew.jpg"
35,Puttu with Kadala Curry,"rice flour, coconut, black chana","Step 1: Soak black chana overnight. Step 2: Pressure cook until soft. Step 3: Heat oil, add onion, tomato, and spices. Step 4: Add cooked chana and simmer into curry. Step 5: For puttu, mix rice flour with water until crumbly. Step 6: Layer flour and coconut in puttu maker. Step 7: Steam for 10 minutes. Step 8: Serve hot puttu with kadala curry.","puttu.jpg"
36,Malai Kofta,"paneer, potato, cream, tomato, spice","Step 1: Mash paneer and potato, add spices. Step 2: Shape into balls, stuff with nuts if desired. Step 3: Deep fry until golden. Step 4: Heat oil, sauté onions and tomatoes. Step 5: Grind into smooth paste. Step 6: Cook paste with cream and spices. Step 7: Add koftas before serving. Step 8: Garnish with cream. Step 9: Serve with naan.","malai_kofta.jpg"
37,Shahi Paneer,"paneer, cashew, tomato, cream, spice","Step 1: Soak cashews and grind to paste. Step 2: Heat oil, sauté onions and tomatoes. Step 3: Blend into paste. Step 4: Heat ghee, add spices. Step 5: Add cashew paste and onion-tomato paste. Step 6: Cook until oil separates. Step 7: Add cream and paneer cubes. Step 8: Simmer gently. Step 9: Garnish with coriander. Step 10: Serve with naan.","shahi_paneer.jpg"
38,Matar Paneer,"paneer, peas, onion, tomato, spice","Step 1: Heat oil, sauté onions until golden. Step 2: Add ginger-garlic paste and tomatoes. Step 3: Add spices and cook until masala thickens. Step 4: Add boiled peas and paneer cubes. Step 5: Add water and simmer 10 minutes. Step 6: Garnish with coriander. Step 7: Serve with roti or rice.","matar_paneer.jpg"
39,Chana Masala,"chickpeas, onion, tomato, spice","Step 1: Soak chickpeas overnight. Step 2: Pressure cook until soft. Step 3: Heat oil, sauté onions until golden. Step 4: Add ginger-garlic paste and tomatoes. Step 5: Add spices and cook until masala thickens. Step 6: Add chickpeas and simmer 15 minutes. Step 7: Garnish with coriander. Step 8: Serve with rice or bhature.","chana_masala.jpg"
40,Dal Makhani,"urad dal, rajma, cream, butter, spice","Step 1: Soak urad dal and rajma overnight. Step 2: Pressure cook until soft. Step 3: Heat butter, sauté onions and tomatoes. Step 4: Add spices and cook well. Step 5: Add cooked dal and simmer on low flame for 1 hour. Step 6: Stir occasionally and add cream. Step 7: Garnish with butter. Step 8: Serve with naan or rice.","dal_makhani.jpg"
41,Poha,"flattened rice, onion, potato, spice","Step 1: Wash poha and drain water. Step 2: Heat oil, add mustard seeds and curry leaves. Step 3: Add onions, green chilies, and potatoes. Step 4: Cook until potatoes soften. Step 5: Add poha, turmeric, and salt. Step 6: Mix gently and cook for 2 minutes. Step 7: Garnish with coriander and lemon. Step 8: Serve hot.","poha.jpg"
42,Khichdi,"rice, dal, ghee, spice","Step 1: Wash rice and dal. Step 2: Heat ghee, add cumin seeds. Step 3: Add rice and dal. Step 4: Add turmeric, salt, and water. Step 5: Cook until soft. Step 6: Mash lightly. Step 7: Serve with ghee and pickle.","khichdi.jpg"
43,Litti Chokha,"wheat flour, sattu, brinjal, potato","Step 1: Mix sattu with onion, garlic, mustard oil, and spices for filling. Step 2: Knead wheat flour into dough. Step 3: Stuff dough balls with sattu filling. Step 4: Roast littis on charcoal or tandoor. Step 5: Roast brinjal and potatoes, mash with onion, garlic, and spices for chokha. Step 6: Serve hot litti with chokha and ghee.","litti_chokha.jpg"
44,Momos,"flour, cabbage, carrot, spice","Step 1: Knead flour into dough. Step 2: Chop cabbage, carrot, onion, and mix with spices. Step 3: Roll dough into small circles. Step 4: Stuff with vegetable filling. Step 5: Fold and seal edges. Step 6: Steam momos for 10 minutes. Step 7: Serve with spicy chutney.","momos.jpg"
45,Thukpa,"noodles, vegetables, soup, spice","Step 1: Boil noodles until soft. Step 2: Heat oil, add ginger, garlic, and onion. Step 3: Add vegetables and sauté. Step 4: Add vegetable stock and spices. Step 5: Simmer until vegetables are tender. Step 6: Add noodles and cook for 2 minutes. Step 7: Garnish with coriander. Step 8: Serve hot.","thukpa.jpg"
46,Kosha Mangsho,"mutton, onion, tomato, spice","Step 1: Wash and clean mutton pieces thoroughly, pat dry, and keep aside. Step 2: In a large bowl, marinate the mutton with curd, ginger-garlic paste, turmeric, red chili powder, and salt. Rest for 1–2 hours. Step 3: Heat mustard oil in a heavy-bottomed pan until it smokes lightly, then reduce flame. Step 4: Add whole spices like bay leaves, cinnamon, cardamom, and cloves, sauté for aroma. Step 5: Add finely chopped onions and cook on medium flame until golden brown. Step 6: Stir in ginger-garlic paste and cook until raw smell disappears. Step 7: Add chopped tomatoes and cook till the masala releases oil. Step 8: Mix in the marinated mutton and stir well to coat with spices. Step 9: Cover and slow cook on low flame, adding water gradually until meat turns tender. Step 10: Finish with garam masala, garnish with coriander, and serve hot with rice or roti.","kosha_mangsho.jpg"
47,Machher Jhol,"fish, potato, tomato, spice","Step 1: Clean fish pieces, apply turmeric and salt, and marinate for 15 minutes. Step 2: Heat mustard oil in a pan until it smokes, then fry the fish lightly. Keep aside. Step 3: In the same oil, add nigella seeds (kalonji) and slit green chilies, sauté briefly. Step 4: Add chopped onions and cook until translucent. Step 5: Stir in ginger-garlic paste and cook until raw smell goes away. Step 6: Add chopped tomatoes, turmeric, chili powder, and coriander powder. Cook till masala leaves oil. Step 7: Pour water to make a curry base and bring it to a boil. Step 8: Gently place fried fish pieces into the curry, simmer on low flame. Step 9: Add boiled potato cubes and cook until both fish and potatoes absorb the flavors. Step 10: Garnish with fresh coriander and serve with steamed rice.","machher_jhol.jpg"
48,Mishti Doi,"milk, sugar, curd","Step 1: Boil full-fat milk in a heavy-bottomed pan, stirring occasionally to avoid burning. Step 2: Reduce the milk to slightly thick consistency on low flame. Step 3: In another pan, melt sugar until golden brown to make caramel. Step 4: Add this caramelized sugar into the hot milk, mix well, and let it cool slightly. Step 5: Once lukewarm, add a spoonful of curd as a starter culture. Step 6: Mix thoroughly without lumps. Step 7: Pour the mixture into clay pots or serving bowls. Step 8: Cover and keep in a warm place overnight or 6–8 hours for fermentation. Step 9: Once set, refrigerate for a few hours to chill. Step 10: Serve creamy Mishti Doi as a dessert.","mishti_doi.jpg"
49,Rasgulla,"chhena, sugar, water","Step 1: Boil milk in a pan, then add lemon juice or vinegar to curdle it. Step 2: Strain using muslin cloth and wash with cold water to remove sourness. Step 3: Squeeze excess water and hang the cloth for 30 minutes to set chhena. Step 4: Knead chhena until smooth and soft without cracks. Step 5: Make small smooth balls from the dough. Step 6: In a wide pan, prepare sugar syrup by boiling sugar and water. Step 7: Gently drop the chhena balls into the boiling syrup. Step 8: Cover and cook for 15-20 minutes until they double in size. Step 9: Let the rasgullas cool in syrup for a few hours to absorb sweetness. Step 10: Serve chilled or at room temperature.","rasgulla.jpg"
50,Gulab Jamun,"khoya, flour, sugar, syrup","Step 1: In a bowl, crumble khoya and mix with a little flour and baking soda. Step 2: Add a few spoons of milk gradually and knead into a soft dough. Step 3: Make small smooth balls, ensuring no cracks. Step 4: Heat ghee or oil in a pan on low flame. Step 5: Fry the balls slowly until golden brown, stirring gently. Step 6: Prepare sugar syrup by boiling sugar, water, and cardamom. Step 7: Simmer syrup for 5–7 minutes until slightly sticky. Step 8: Once gulab jamuns are fried, drain and place them directly into warm syrup. Step 9: Let them soak for at least 2 hours to absorb sweetness. Step 10: Serve warm or chilled, garnished with nuts or saffron.","gulab_jamun.jpg"
51,Bataka Pav,"potato, pav, green chutney, spices, oil","Step 1: Boil and mash potatoes until smooth. Step 2: Heat oil, add mustard seeds and curry leaves, then sauté chopped onions until translucent. Step 3: Add ginger, green chilies, turmeric, and other spices; cook briefly. Step 4: Mix mashed potatoes into the spiced onion mix, adjust salt and cook until combined. Step 5: Shape the mixture into patties or use as a loose filling. Step 6: Split pav buns and lightly toast with butter. Step 7: Spread green chutney on pav, place the potato filling or patty inside. Step 8: Serve hot with fried green chilies or extra chutney.","bataka_pav.jpg"
